TURNO,LINHA,TIPO DE VIAGEM,BAIRRO,PONTO DE PASSAGEM,PARADA
ADM,LINHA 01,IDA,RIBAMAR,AV. GONÇALVES DIAS,CAMPINA – QUADRA DE ESPORTE
ADM,LINHA 01,IDA,RIBAMAR,AV. GONÇALVES DIAS,PRAÇA DO CEMITÉRIO
ADM,LINHA 01,IDA,CRUZEIRO,AV. GONÇALVES DIAS,LOJAS SANTA MARIA
ADM,LINHA 01,IDA,MOROPOIA,AV. GONÇALVES DIAS,FAROL – MARANHENSE
ADM,LINHA 01,IDA,VILA DOUTOR JULINHO,EST. DE RIBAMAR - MA 201,OUTEIRO
ADM,LINHA 01,IDA,VILA DOUTOR JULINHO,EST. DE RIBAMAR - MA 201,LICEU RIBAMARENSE
ADM,LINHA 01,IDA,VILA DOUTOR JULINHO,EST. DE RIBAMAR - MA 201,PRAÇA VILA JULINHO
ADM,LINHA 01,IDA,PAU DEITADO,AV. PRINCIPAL,IGREJA CATÓLICA
ADM,LINHA 01,IDA,PIÇARREIRA,EST. DE RIBAMAR,POSTO MAUÁ
ADM,LINHA 01,IDA,PIÇARREIRA,EST. DE RIBAMAR,PARADA OBRIGATÓRIA
ADM,LINHA 01,IDA,PIÇARREIRA,EST. DE RIBAMAR,CONDOMÍNIO NOVO AURORA
ADM,LINHA 01,IDA,PINDAI,EST. DE RIBAMAR,COMERCIAL AMORIM
ADM,LINHA 01,IDA,PORTAL DO PAÇO,EST. DE RIBAMAR,POSTO OTÁVIO
ADM,LINHA 01,IDA,RIO SÃO JOÃO,EST. DE RIBAMAR,PORTAL DO PAÇO
ADM,LINHA 01,IDA,LARANJAL,EST. DE RIBAMAR,IGREJA DO LARANJAL
ADM,LINHA 01,IDA,LARANJAL,EST. DE RIBAMAR,ENTRADA LARANJAL
ADM,LINHA 01,VOLTA,RIO SÃO JOÃO,EST. DE RIBAMAR,ENTRADA DO PAÇO
ADM,LINHA 01,VOLTA,RIO SÃO JOÃO,EST. DE RIBAMAR,IGREJA DO LARANJAL
ADM,LINHA 01,VOLTA,RIO SÃO JOÃO,EST. DE RIBAMAR,PORTAL DO PAÇO
ADM,LINHA 01,VOLTA,PORTAL DO PAÇO,EST. DE RIBAMAR,POSTO OTÁVIO
ADM,LINHA 01,VOLTA,PINDAI,EST. DE RIBAMAR,COMERCIAL AMORIM
ADM,LINHA 01,VOLTA,PIÇARREIRA,EST. DE RIBAMAR,CONDOMÍNIO NOVO AURORA
ADM,LINHA 01,VOLTA,PIÇARREIRA,EST. DE RIBAMAR,PARADA OBRIGATÓRIA
ADM,LINHA 01,VOLTA,PIÇARREIRA,EST. DE RIBAMAR,POSTO MAUÁ
ADM,LINHA 01,VOLTA,PAU DEITADO,AV. PRINCIPAL,IGREJA CATÓLICA
ADM,LINHA 01,VOLTA,VILA DOUTOR JULINHO,EST. DE RIBAMAR - MA 201,PRAÇA VILA JULINHO
ADM,LINHA 01,VOLTA,VILA DOUTOR JULINHO,EST. DE RIBAMAR - MA 201,LICEU RIBAMARENSE
ADM,LINHA 01,VOLTA,VILA DOUTOR JULINHO,EST. DE RIBAMAR - MA 201,OUTEIRO
